@relation training_keyboard.arff-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-Llast

@attribute Pacman_posx numeric
@attribute Pacman_posy numeric
@attribute Number_ghosts numeric
@attribute Ghost1_Distance numeric
@attribute Ghost2_Distance numeric
@attribute Ghost3_Distance numeric
@attribute Ghost4_Distance numeric
@attribute Ghost1_Posx numeric
@attribute Ghost1_Posy numeric
@attribute Ghost2_Posx numeric
@attribute Ghost2_Posy numeric
@attribute Ghost3_Posx numeric
@attribute Ghost3_Posy numeric
@attribute Ghost4_Posx numeric
@attribute Ghost4_Posy numeric
@attribute Living_Ghost1 {True,False}
@attribute Living_Ghost2 {True,False}
@attribute Living_Ghost3 {True,False}
@attribute Living_Ghost4 {True,False}
@attribute Ghost1_Direction {North,South,East,West,Stop,None}
@attribute Ghost2_Direction {North,South,East,West,Stop,None}
@attribute Ghost3_Direction {North,South,East,West,Stop,None}
@attribute Ghost4_Direction {North,South,East,West,Stop,None}
@attribute pacDots numeric
@attribute Dist_nearest_pacDots numeric
@attribute Pacman_direction {North,South,East,West,Stop}
@attribute Score numeric
@attribute East_Legal {True,False}
@attribute West_Legal {True,False}
@attribute North_Legal {True,False}
@attribute South_Legal {True,False}
@attribute FutureScore numeric

@data
14,7,4,10,10000,10000,1,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,1,5,South,478,True,True,True,True,677
14,6,4,9,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,1,4,South,677,False,False,True,True,676
14,5,4,8,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,1,5,West,676,True,True,True,True,675
13,5,4,7,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,1,4,West,675,True,True,False,True,674
12,5,4,6,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,1,3,West,674,True,True,False,False,673
11,5,4,5,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,1,2,West,673,True,True,False,True,672
10,5,4,4,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,1,1,North,672,True,True,True,True,771
10,6,4,5,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,North,771,False,True,True,True,770
10,7,4,6,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,South,770,False,True,True,True,769
10,6,4,5,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,South,769,False,True,True,True,768
10,5,4,4,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,West,768,True,True,True,True,767
9,5,4,3,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,West,767,True,True,True,True,766
8,5,4,2,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,West,766,True,True,True,True,765
1,18,4,14,24,28,35,6,9,10,3,17,6,25,7,True,True,True,True,East,West,Stop,Stop,0,-1,South,-1,True,False,False,True,-2
